id,text,explicitness,target
1266794014793240578,Gelukkig heeft deze loser geen macht,EXPLICIT,INDIVIDUAL
1266198597655134208,@USER @USER @USER De zwarten van vandaag zijn echt niet zo sterk als de vorige generaties. Heeft waarschijnlijk met werken te maken,IMPLICIT,GROUP
1002609994720796673,"@USER @USER @USER @USER Te schandalig voor woorden, zieke mensen daar in Den Haag. Stelletje zelfhaters over de ruggen van Nederlandse kinderen. Kotsmisselijk wordt je van dat soort politici.",EXPLICIT,GROUP
1266679027324116992,"@USER @USER @USER Ja, dit is pure politieke recuperatie om een futuliteit tussen 2 mensen die enorm uitvergroot wordt in de hoop zichzelf interessant te maken. Welnu dit komt altijd terug als een boomerang en die groene kleuters bij Ovld zouden dat ondertussen moeten weten.",EXPLICIT,GROUP
1063577127893774336,@USER is een slet RT @USER @USER is een slet RT @USER @USER is een slet RT @USER @USER URL,EXPLICIT,INDIVIDUAL
1267379380864421888,"De MSM vertelt ons dat er in de VS sprake is van keurige, huidskleurgerelateerde demo\u2019s. In de vele beelden die rondgaan, zie ik vooral veel tuig dat relt, plundert & moordt. Vandaag gaan in #Amsterdam diverse idioten de straat op om dit gedrag te steunen. #BlackLivesMatterNL",EXPLICIT,GROUP
840618937008152576,"@USER Vieze fundamentalist. Lever je Nederlandse nationaliteit in, je hoort bij je nazi leider in Turkije.",EXPLICIT,INDIVIDUAL
1267848688359165952,"@USER @USER @USER @USER dom kutje ben je toch! domme kindjes jou werken tot hun 67e omdat ze niks kunnen! ik ga nooit dood, want houd van Duterte, Trump, Wilders, Baudet, de Winter! Haat die linkse racisten!",EXPLICIT,INDIVIDUAL
1267810678171197442,@USER zo slim is die niet die journalist met zn kut politieke kleur!,EXPLICIT,INDIVIDUAL
1002555087946952704,"@USER Oude mensen zijn echt the worst, en ze denken echt dat ze alles mogen :woman_facepalming_light_skin_tone: ",EXPLICIT,GROUP
1266292299983552512,@USER @USER WHO zijn pedofielen :grinning_squinting_face:,EXPLICIT,GROUP
1266346673653059585,"Dat abnormale normaal wat ze voor ogen hebben in Europa , dat moet toch wel door iemand bedacht zijn die wel heel erg veel van Hitler gehouden moet hebben !",IMPLICIT,INDIVIDUAL
1061949435993821184,@USER @USER Omdat hij de andere poedel van Fuhrer Merkel is!,IMPLICIT,INDIVIDUAL
841270903040282624,"Staat #olaftempelman niet toevallig om de kieslijst van die andere idioot, #baudet?",EXPLICIT,INDIVIDUAL
1267008548212523008,"Het begint gelukkig steeds meer bekende Nederlanders, medici en journalisten ook te dagen. Ik zie ze uitspreken dat men doorkrijgt dat die hele lockdown berust is op onkunde en kwaadaardigheid. Ik geef Rutte nog een maand voor hij zijn biesjes pakt",IMPLICIT,INDIVIDUAL
1267440812981456896,Wie gaat er nu protesteren voor een dode misdadiger? Geld :money_bag: dus.... En #links subsidies :face_vomiting: URL,IMPLICIT,GROUP
1267488542898388995,"Op momenten als net denk ik : Was ik destijds maar in India gebleven , zeker geen rijk land maar Nederland is zo welvarend alleen een flink deel van het volk compleet geschift #Amsterdam #Antifa",EXPLICIT,OTHER
1266679952826564610,De les hiervan zou kunnen zijn dat die idiote vakbondsman @USER en zijn IVR met hun ideeën helemaal zo gek nog niet zijn.,EXPLICIT,INDIVIDUAL
1266133027710799872,"@USER Maar gelukkig doen ze er alles aan, dat we niet (gaan) roken. Gezond eten (kut keurmerkjes). Noem het maar op. En dan ons op een andere manier, volspuiten met zooi! Er is geen virus zo dodelijk als het #TweedeKamer virus.",IMPLICIT,OTHER
1267289469021028354,@USER @USER @USER Rob Jetten jij Robot Homo. Jij begrijpt nog steeds niet dat je vriendin Ollogren weer onze vrijheid afpakt door het afschaffen van het Referendum. En ze kan geen eens de huur verhoging stoppen ik kan die makkelijk radicaal stoppen als ik in politiek zit het liefst zonder geld XD.,EXPLICIT,INDIVIDUAL
1123491180363362306,die meute verberg iets dat erg is maar niet mag geweten worden door hun eigen misbruik of incest zal daar niet vreemd aan EN kinderverzorging = één een grote nul die wijven telefoneren een ganse dat en hun mannen jagen op de vlaamse vrouwen zo een soort volk is dat,IMPLICIT,GROUP
