Id	Text	Explicitness	Target
664615245852332032	a1 limburgsingel arnhem 6845DS 79898 | Ambulance met spoed naar Limburgsingel in Arnhem | URL	NOT	
667480530749931521	Schijnt trouwens dat er in België ook verdacht veel auto's met een Belgisch kenteken staan. #Rotterdam	NOT	
1266224450388795392	@USER Zo lijkt het bij sommige mensen écht hé?	NOT	
838992351309643776	Vannacht is deze trailer gestolen van het terrein van de manege! Wil iedereen uitkijken en waarschuwen!!	NOT	
1266564332399276032	@USER ik geen eeuwige grafrust, die lui ook niet, zijn jullie gestoord of zo?????????? waarom hebben zij meer rechten? @USER waarom krijgen zij wel eeuwige grafrust en ik als christen niet? @USER @USER @USER @USER #DISCRIMINATIE!	NOT	
1266439062199644161	@USER Na 8 jaar Obama is het mosterd na de maaltijd. #ObamaGate	NOT	
838899088506699776	@USER Iedereen die GW rechts laat liggen.	NOT	
838888162386640896	@USER Dat is routine. Westerse misdaden worden weggemoffeld, zodat we kunnen fantaseren over morele superioriteit @USER	NOT	
664687390657789952	#AD #CAO #politie kost #schatkist 70 #miljoen. Ze hebben het niet over de vele miljoenen die ze normaal over de balk gooien.Dat bespaard pas	NOT	
838918392698413056	Vacature: Assistent Accountant, groei naar controleleider! (direct een vast contract!) URL	NOT	
1267568825186291719	@USER @USER @USER Alsjeblieft, luister even naar deze neger URL	EXPLICIT	INDIVIDUAL
1267552510383980544	@USER @USER Welnee joh, het script wordt nu geschreven	NOT	
1268831192331309058	#Rutte en #Halsema hebben gemeen 1 : Rutte heeft het in debat gisteren over een langdurige lockdown als je Corona maximaal wil indammen. 2: Halsema heeft het over hard ingrijpen met geweld op de dam om de demonstratie te be\u00ebindigen. Beiden zwaar overdrijven om te rechtvaardigen.	NOT	
1266175548113539072	@USER Omdat tegenwoordig het beeld, hoe eea overkomt etc belangrijker is dan de inhoud. Omdat in de politiek juist dat meer telt dan de inhoud. Veel jongeren studeren tegenwoordig politicologie en bestuurskunde vanwege carrière in de politiek. Daar zijn we mee genaaid.	NOT	
1268452578620329984	De hele groep losers van #Antifa en #blacklifematters e.d. zijn continu op zoek naar onderwerpen om hun eigen falen een oorzaak te geven. Op dit moment is racisme HET onderwerp.	EXPLICIT	GROUP
1266234220030066688	Hallo @USER In Rotterdam neemt @USER de raad niet serieus. De voortgangsrapportages behorend bij risicovolle projecten zoals #FeyenoordCity zijn de nek omgedraaid. Het duaal stelsel is hierdoor nier mogelijk, een gotspe voor de democratie. #blunderput #waanzin URL	NOT	
668034007347666948	@USER omg zou ze slachten	NOT	
667812726505246720	@USER Ik ga toch niet naar applaus luisteren.	NOT	
1266182799591161856	Luister deze ff als je nog wakker bent is lekkerrr URL	NOT	
1266235575670943744	Thailand wil corona lockdown op 1 juli beëindigen URL	NOT	
664684373657174016	DIT Services is op zoek naar #Loodgieter #/ CV Monteur in #Groningen, solliciteer nu! #jobs URL	NOT	
838903978956050432	@USER @USER @USER @USER iedereen binnen de sp is relevant	NOT	
664709112974974976	Na de decentralisatie hebben mensen in Nederland nl geen gelijke rechten meer. URL	NOT	
1267730892455391232	@USER Halsema is hypocriet en heeft schijt aan alles buiten haar eigen linkse agenda. Halsema heeft schijt aan de 1 1/2 meter corona maatregelen, aan alle ondernemers, aan de zorg en aan de ouderen. Dit valt niet uit te leggen, Halsema zaait tweespalt in de samenleving, zo dom.	IMPLICIT	INDIVIDUAL
665417250623643648	Wij rouwen om de slachtoffers #Parijs en om de politici die ons dit aandoen. #pvv #grensendicht.	NOT	
1266981286045978624	@USER @USER @USER @USER het leven bestaat alleen maar uit risico's! pandemie? ja als die Aziaten maar rauwe dieren blijven vreten! maar dir is anders, komt kog wel uit wat die Chinezen allemaal uitvreten!	NOT	
664704691155156992	Op zoek naar repetitie ruimte? Of een ruimte voor vergaderen? URL	NOT	
1268620555357286400	Honderdduizend verschillende dingen de afgelopen dagen en vooral veel 'organiseren' op korte termijn met de nodige strubbelingen en handwerk. #corona #onderwijs #hollenofstilstaan	NOT	
1266471756052811778	De ezel is nog gezond dan kozp, Sylvana Xenos :zany_face: 	IMPLICIT	INDIVIDUAL
838929013578022912	Wilders kondigt protest aan bij Turkse ambassade URL	NOT	
838894092474068992	President Erdogan heeft stemmen uit de Turkse diaspora hard nodig URL	NOT	
1266240197861076992	@USER Om te beginnen ligt er in de supermarkt geen voedsel maar chemisch afval... dus dat is lastig. Ten tweede zijn de weilanden volledig verwoest door chemicaliën... dus dat wordt lastig. Ten derde is alles bespoten met chemicaliën en dat is geen gezonde voeding en dus lastig. URL	NOT	
667304176993501184	@USER Van enige zelfreflectie is bij moslims nooit enige spraken, het ligt altijd aan die ander, de jood of de christenhond.	IMPLICIT	GROUP
666661816752349185	@USER @USER het grootste deel van de goed opgeleide moslims pleegt geen aanslag. Waarom sommigen wel?	NOT	
1266167439206895616	Eerste deel van een nieuwe serie historische romans. Wat kan een vrouw – slechts een gouvernante – doen tegen de gesel van de slavernij? Lees verder: URL	NOT	
841403342408548352	@USER nieuwe twitter header misschien? :)	NOT	
665329531117547520	@USER maar ze nemen wel meer van de islam doctrine mee naar Europa dwaas.	EXPLICIT	INDIVIDUAL
1266844477555081216	@USER Die moeten juist meer gaan vliegen, op z'n Argentijns. Lost het probleem ook op.	IMPLICIT	GROUP
665452219127472128	Hollande sluit grenzen om daders binnen te houden. Wilders roept op om grenzen te sluiten voor slachtoffers van dit soort geweld. #Parijs	NOT	
1266618585096556551	@USER @USER Labiel tiepje, die @USER weet geen overwogen beslissingen te nemen. Blocken, ontblocken, het zwalkt alle kanten op. URL	EXPLICIT	INDIVIDUAL
840308488710565889	Kan die Turk als privépersoon zonder visum binnenkomen ? #nieuwsuur	NOT	
